primary_key,codes,Perm_crop,year,area_ha
267,111160105,Citrinos,2009,
268,111160105,Citrinos,2019,
269,111160105,Frutos sub-tropicais,1989,
270,111160105,Frutos sub-tropicais,1999,
271,111160105,Frutos sub-tropicais,2009,
272,111160105,Frutos sub-tropicais,2019,
273,111160105,Frutos de casca rija,1989,
274,111160105,Frutos de casca rija,1999,
275,111160105,Frutos de casca rija,2009,
276,111160105,Frutos de casca rija,2019,
277,111160105,Olival,1989,1
278,111160105,Olival,1999,
279,111160105,Olival,2009,
280,111160105,Olival,2019,
281,111160105,Vinha,1989,5
282,111160105,Vinha,1999,6
283,111160105,Vinha,2009,1
284,111160105,Vinha,2019,2
285,111160105,Outras culturas permanentes,1989,
286,111160105,Outras culturas permanentes,1999,
287,111160105,Outras culturas permanentes,2009,
288,111160105,Outras culturas permanentes,2019,
289,111160106,Total,1989,22
290,111160106,Total,1999,17
291,111160106,Total,2009,7
292,111160106,Total,2019,4
293,111160106,Frutos frescos (excepto citrinos),1989,
294,111160106,Frutos frescos (excepto citrinos),1999,
295,111160106,Frutos frescos (excepto citrinos),2009,
296,111160106,Frutos frescos (excepto citrinos),2019,
297,111160106,Citrinos,1989,
298,111160106,Citrinos,1999,
299,111160106,Citrinos,2009,
300,111160106,Citrinos,2019,0
301,111160106,Frutos sub-tropicais,1989,
302,111160106,Frutos sub-tropicais,1999,
303,111160106,Frutos sub-tropicais,2009,
304,111160106,Frutos sub-tropicais,2019,
305,111160106,Frutos de casca rija,1989,
306,111160106,Frutos de casca rija,1999,
307,111160106,Frutos de casca rija,2009,
308,111160106,Frutos de casca rija,2019,0
309,111160106,Olival,1989,0
310,111160106,Olival,1999,
311,111160106,Olival,2009,0
312,111160106,Olival,2019,0
313,111160106,Vinha,1989,22
314,111160106,Vinha,1999,17
315,111160106,Vinha,2009,7
316,111160106,Vinha,2019,3
317,111160106,Outras culturas permanentes,1989,
318,111160106,Outras culturas permanentes,1999,
319,111160106,Outras culturas permanentes,2009,
320,111160106,Outras culturas permanentes,2019,
321,111160108,Total,1989,21
322,111160108,Total,1999,18
323,111160108,Total,2009,14
324,111160108,Total,2019,14
325,111160108,Frutos frescos (excepto citrinos),1989,1
326,111160108,Frutos frescos (excepto citrinos),1999,
327,111160108,Frutos frescos (excepto citrinos),2009,
328,111160108,Frutos frescos (excepto citrinos),2019,
329,111160108,Citrinos,1989,0
330,111160108,Citrinos,1999,
331,111160108,Citrinos,2009,0
332,111160108,Citrinos,2019,
333,111160108,Frutos sub-tropicais,1989,
334,111160108,Frutos sub-tropicais,1999,
335,111160108,Frutos sub-tropicais,2009,
336,111160108,Frutos sub-tropicais,2019,
337,111160108,Frutos de casca rija,1989,0
338,111160108,Frutos de casca rija,1999,
339,111160108,Frutos de casca rija,2009,2
340,111160108,Frutos de casca rija,2019,4
341,111160108,Olival,1989,2
342,111160108,Olival,1999,0
343,111160108,Olival,2009,0
344,111160108,Olival,2019,
345,111160108,Vinha,1989,19
346,111160108,Vinha,1999,17
347,111160108,Vinha,2009,11
348,111160108,Vinha,2019,9
349,111160108,Outras culturas permanentes,1989,0
350,111160108,Outras culturas permanentes,1999,
351,111160108,Outras culturas permanentes,2009,
352,111160108,Outras culturas permanentes,2019,
353,111160109,Total,1989,23
354,111160109,Total,1999,14
355,111160109,Total,2009,3
356,111160109,Total,2019,9
357,111160109,Frutos frescos (excepto citrinos),1989,0
358,111160109,Frutos frescos (excepto citrinos),1999,
359,111160109,Frutos frescos (excepto citrinos),2009,0
360,111160109,Frutos frescos (excepto citrinos),2019,0
361,111160109,Citrinos,1989,0
362,111160109,Citrinos,1999,
363,111160109,Citrinos,2009,
364,111160109,Citrinos,2019,0
365,111160109,Frutos sub-tropicais,1989,
366,111160109,Frutos sub-tropicais,1999,
367,111160109,Frutos sub-tropicais,2009,
368,111160109,Frutos sub-tropicais,2019,
369,111160109,Frutos de casca rija,1989,
370,111160109,Frutos de casca rija,1999,0
371,111160109,Frutos de casca rija,2009,0
372,111160109,Frutos de casca rija,2019,1
373,111160109,Olival,1989,1
374,111160109,Olival,1999,
375,111160109,Olival,2009,
376,111160109,Olival,2019,0
377,111160109,Vinha,1989,22
378,111160109,Vinha,1999,14
379,111160109,Vinha,2009,3
380,111160109,Vinha,2019,7
381,111160109,Outras culturas permanentes,1989,
382,111160109,Outras culturas permanentes,1999,
383,111160109,Outras culturas permanentes,2009,
384,111160109,Outras culturas permanentes,2019,
385,111160113,Total,1989,7
386,111160113,Total,1999,4
387,111160113,Total,2009,1
388,111160113,Total,2019,2
389,111160113,Frutos frescos (excepto citrinos),1989,0
390,111160113,Frutos frescos (excepto citrinos),1999,
391,111160113,Frutos frescos (excepto citrinos),2009,
392,111160113,Frutos frescos (excepto citrinos),2019,
393,111160113,Citrinos,1989,
394,111160113,Citrinos,1999,
395,111160113,Citrinos,2009,
396,111160113,Citrinos,2019,
397,111160113,Frutos sub-tropicais,1989,
398,111160113,Frutos sub-tropicais,1999,
399,111160113,Frutos sub-tropicais,2009,
400,111160113,Frutos sub-tropicais,2019,
401,111160113,Frutos de casca rija,1989,0
402,111160113,Frutos de casca rija,1999,
403,111160113,Frutos de casca rija,2009,
404,111160113,Frutos de casca rija,2019,
405,111160113,Olival,1989,
406,111160113,Olival,1999,
407,111160113,Olival,2009,
408,111160113,Olival,2019,
409,111160113,Vinha,1989,7
410,111160113,Vinha,1999,4
411,111160113,Vinha,2009,1
412,111160113,Vinha,2019,2
413,111160113,Outras culturas permanentes,1989,
414,111160113,Outras culturas permanentes,1999,
415,111160113,Outras culturas permanentes,2009,
416,111160113,Outras culturas permanentes,2019,
417,111160115,Total,1989,30
418,111160115,Total,1999,40
419,111160115,Total,2009,17
420,111160115,Total,2019,30
421,111160115,Frutos frescos (excepto citrinos),1989,0
422,111160115,Frutos frescos (excepto citrinos),1999,0
423,111160115,Frutos frescos (excepto citrinos),2009,0
424,111160115,Frutos frescos (excepto citrinos),2019,4
425,111160115,Citrinos,1989,
426,111160115,Citrinos,1999,0
427,111160115,Citrinos,2009,
428,111160115,Citrinos,2019,0
429,111160115,Frutos sub-tropicais,1989,
430,111160115,Frutos sub-tropicais,1999,
431,111160115,Frutos sub-tropicais,2009,
432,111160115,Frutos sub-tropicais,2019,
433,111160115,Frutos de casca rija,1989,
434,111160115,Frutos de casca rija,1999,0
435,111160115,Frutos de casca rija,2009,0
436,111160115,Frutos de casca rija,2019,0
437,111160115,Olival,1989,
438,111160115,Olival,1999,0
439,111160115,Olival,2009,0
440,111160115,Olival,2019,0
441,111160115,Vinha,1989,30
442,111160115,Vinha,1999,39
443,111160115,Vinha,2009,17
